common_name,scientific_name,family
Lappet-faced Vulture,Torgos tracheliotos,"Accipitridae (Hawks, Eagles)"
Bat Hawk,Macheiramphus alcinus,"Accipitridae (Hawks, Eagles)"
Crowned Eagle,Stephanoaetus coronatus,"Accipitridae (Hawks, Eagles)"
Martial Eagle,Polemaetus bellicosus,"Accipitridae (Hawks, Eagles)"
Long-crested Eagle,Lophaetus occipitalis,"Accipitridae (Hawks, Eagles)"
Lesser Spotted Eagle,Clanga pomarina,"Accipitridae (Hawks, Eagles)"
Tawny Eagle,Aquila rapax,"Accipitridae (Hawks, Eagles)"
Steppe Eagle,Aquila nipalensis,"Accipitridae (Hawks, Eagles)"
Verreaux's Eagle,Aquila verreauxii,"Accipitridae (Hawks, Eagles)"
African Hawk-eagle,Aquila spilogaster,"Accipitridae (Hawks, Eagles)"
Wahlberg's Eagle,Hieraaetus wahlbergi,"Accipitridae (Hawks, Eagles)"
Booted Eagle,Hieraaetus pennatus,"Accipitridae (Hawks, Eagles)"
Ayres's Hawk-eagle,Hieraaetus ayresii,"Accipitridae (Hawks, Eagles)"
Lizard Buzzard,Kaupifalco monogrammicus,"Accipitridae (Hawks, Eagles)"
Dark Chanting-goshawk,Melierax metabates,"Accipitridae (Hawks, Eagles)"
Pale Chanting-goshawk,Melierax canorus,"Accipitridae (Hawks, Eagles)"
Gabar Goshawk,Micronisus gabar,"Accipitridae (Hawks, Eagles)"
Western Marsh-harrier,Circus aeruginosus,"Accipitridae (Hawks, Eagles)"
African Marsh-harrier,Circus ranivorus,"Accipitridae (Hawks, Eagles)"
Black Harrier,Circus maurus,"Accipitridae (Hawks, Eagles)"
Pallid Harrier,Circus macrourus,"Accipitridae (Hawks, Eagles)"
Montagu's Harrier,Circus pygargus,"Accipitridae (Hawks, Eagles)"
African Goshawk,Accipiter tachiro,"Accipitridae (Hawks, Eagles)"
Shikra,Accipiter badius,"Accipitridae (Hawks, Eagles)"
Little Sparrowhawk,Accipiter minullus,"Accipitridae (Hawks, Eagles)"
Ovambo Sparrowhawk,Accipiter ovampensis,"Accipitridae (Hawks, Eagles)"
Rufous-breasted Sparrowhawk,Accipiter rufiventris,"Accipitridae (Hawks, Eagles)"
Black Sparrowhawk,Accipiter melanoleucus,"Accipitridae (Hawks, Eagles)"
African Fish-eagle,Haliaeetus vocifer,"Accipitridae (Hawks, Eagles)"
Black Kite,Milvus migrans,"Accipitridae (Hawks, Eagles)"
Yellow-billed Kite,Milvus aegyptius,"Accipitridae (Hawks, Eagles)"
Augur Buzzard,Buteo augur,"Accipitridae (Hawks, Eagles)"
