common_name,scientific_name,afrikaans_name,image,family,size,habitat,colors
Monotonous Lark,Mirafra passerina,Bosveldlewerik,,Larks,Small,Woodland,"['Brown', 'Buff']"
Montagu's Harrier,Circus pygargus,Blouvleivalk (-paddavreter),,Harriers,Large,Grassland,"['Grey', 'Brown', 'White']"
Mosque Swallow,Cecropis senegalensis,Moskeeswael,,Swallows,Small,Grassland,"['Blue', 'White', 'Orange']"
Mottled Spinetail,Telacanthura ussheri,Gevlekte Stekelstert,,Spinetails,Small,Woodland,"['Brown', 'White']"
Mountain Pipit,Anthus hoeschi,Bergkoester,,Pipits,Small,Grassland,"['Brown', 'Buff']"
Mountain Wagtail,Motacilla clara,Bergkwikkie,https://cdn.sabirds.app/mountain-wagtail/1_medium.webp,Wagtails,Small,Forest,"['Grey', 'Yellow', 'White']"
Mountain Wheatear,Myrmecocichla monticola,Bergwagter,https://cdn.sabirds.app/mountain-wheatear/1_medium.webp,Chats,Small,Grassland,"['Grey', 'Black', 'White']"
Mute Swan,Cygnus olor,Makousiswaan,https://cdn.sabirds.app/mute-swan/1_medium.webp,Swans,Very Large,Wetland,"['Brown', 'Green', 'White']"
Namaqua Dove,Oena capensis,Namakwaduifie,https://cdn.sabirds.app/namaqua-dove/1_medium.webp,Doves,Small,Fynbos,"['Grey', 'Brown', 'Blue']"
Namaqua Sandgrouse,Pterocles namaqua,Kelkiewyn,https://cdn.sabirds.app/namaqua-sandgrouse/1_medium.webp,Sandgrouse,Medium,Karoo,"['Brown', 'Buff', 'Grey']"
Namaqua Warbler,Phragmacia substriata,Namakwalangstertjie,https://cdn.sabirds.app/namaqua-warbler/1_medium.webp,Warblers,Tiny,Fynbos,"['Brown', 'Buff']"
Narina Trogon,Apaloderma narina,Bosloerie,https://cdn.sabirds.app/narina-trogon/1_medium.webp,Trogons,Medium,Forest,"['Green', 'Red', 'White']"
Natal Spurfowl,Pternistis natalensis,Natalse Fisant,https://cdn.sabirds.app/natal-spurfowl/1_medium.webp,Francolins,Large,Fynbos,"['Brown', 'Grey', 'White']"
Neddicky,Cisticola fulvicapilla,Neddikkie,https://cdn.sabirds.app/neddicky/1_medium.webp,Cisticolas,Tiny,Grassland,"['Brown', 'Buff']"
Neergaard's Sunbird,Cinnyris neergaardi,Bloukruissuikerbekkie,https://cdn.sabirds.app/neergaards-sunbird/1_medium.webp,Sunbirds,Tiny,Fynbos,"['Green', 'Orange']"
Nicholson's Pipit,Anthus nicholsoni,Nicholsonse Koester,https://cdn.sabirds.app/nicholsons-pipit/1_medium.webp,Pipits,Small,Grassland,"['Brown', 'White', 'Yellow']"
Northern Black Korhaan,Afrotis afraoides,Witvlerkkorhaan,https://cdn.sabirds.app/northern-black-korhaan/1_medium.webp,Bustards,Large,Grassland,"['Black', 'White', 'Brown']"
Northern Giant Petrel,Macronectes halli,Grootnellie,https://cdn.sabirds.app/northern-giant-petrel/1_medium.webp,Petrels,Very Large,Marine,"['Grey', 'Brown']"
